sentiment,Cá tính mà rất đáng yêu nè See Translation
sentiment,HOT HOT HOT !!! The Voice tối nay sẽ có sự xuất hiện của ĐINH HƯƠNG với vai trò là MC HẬU TRƯỜNG nhe cả nhàaaaaaaa. Đón xem nào heheeeee See Translation
sentiment,Tin HOT nè cả nhà ơiiiiiiiiiiiiiii ĐINH HƯƠNG nhà mình đã nhận giải CA SỸ CỦA NĂM của TheBox Idol đóooooooooooooooooo  Cùng AD gửi lời chúc mừng đến Đinh Hương nào !!! See Translation
sentiment,Hôn nhân có thực sự đáng sợ thế không? See Translation
sentiment,Ảnh Đinh Hương chụp khi tổng duyệt Thebox Idol hôm nay nè nghen ^^ Hóng ảnh và clip Đinh Hương nhận giải CA SỸ CỦA NĂM Nghe nói là nàng đẹp lộng lẫy luôn :))) Hôm nay cô nàng cũng tham gia trình diễn với ca khúc SO I đóa  *hóng hóng hóng* See Translation
sentiment,"ANH THÍCH VỢ NGU HAY VỢ THÔNG MINH? Hôm rồi tôi có trả lời đài tiếng nói Bình Dương khi bạn phóng viên hỏi đại ý rằng: Tại sao đàn ông Việt rất kỵ vợ thông minh? Tôi bảo: Ai kỵ chứ tôi không kỵ. Trái lại, tôi thích lấy vợ thông minh. Nghĩ đùa một chút rằng: Cũng là một kiếp làm chồng như nhau, làm chồng một cô vợ thông minh nó thú vị hơn nhiều lắm! Hồi tôi mới lớn, tôi cực thích những phụ nữ thông minh. Nhưng thích yêu thôi chứ không thích lấy. Bởi tôi sợ mình không an toàn. Phụ nữ thông minh luôn không khiến tôi (cũng như phần đông đàn ông Việt) cảm thấy bất an. Họ thông minh nên họ chiếm quyền điều khiển mối quan hệ. Họ khiến tôi không tự tung tự tác được. Hồi ấy, tôi thích cưới một cô vợ an toàn. Người khiến tôi quăng đâu cũng được, khỏi lo giữ. Người chỉ ăn, ngủ, quần quần áo áo là hết một ngày. Người tôi chỉ cần mang tiền về là mắt híp hết cả lại. Rồi đẻ cho tôi vài đứa con kháu khỉnh. Làm việc cũng được mà ở nhà cũng được miễn là về đến nhà là có bữa cơm nóng hổi vừa thổi vừa xơi. Tôi chỉ cần lừ mắt là biết cụp đuôi ngay. Thi thoảng nựng nịu một chút là đuôi xoắn tít thò lò. Thật thà và dễ bảo! Tôi nghĩ có nhiều đàn ông cũng muốn cưới một cô vợ như vậy: Ngoan 1 tí- Ngu 1 tí và Ngon 1 tí! Vậy nên tôi chia tay dăm người vì họ không như thế! Họ thông minh quá! Mới yêu thôi mà họ đã toan tính mua nhà, mua xe, đẻ con và lên form chồng chuẩn cho tôi. Nhưng tôi cũng bỏ chạy ngay với vài người 3 tí vì ngon 1 tí suốt ngày nói chuyện quần áo cả khi tôi đang buồn chết đi được, ngoan 1 tí nên dụ dỗ nổi loạn là nhăn mặt lắc đầu, ngu 1 tí nên chẳng bao giờ trò chuyện được với nhau. Thế nên từng có người nói tôi phức tạp và mâu thuẫn. Rốt cuộc thì tôi muốn gì??? Tôi nhận ra mình muốn một cuộc hôn nhân thực sự chứ không phải chỉ là một người vợ. Tôi muốn được CÙNG NHAU thay vì chỉ mình tôi hoặc mình cô ấy. Một vài người phụ nữ quá thông minh nên đã một tay làm nên cuộc hôn nhân thay vì cùng tôi xây đắp cuộc hôn nhân. Một vài người phụ nữ thì quá ngốc nghếch khi luôn cho rằng xây dựng gia đình là chuyện của đàn ông. Phụ nữ chỉ ĐI THEO thôi! Không! Hôn nhân vốn chẳng phải là 2 người cưới nhau về sinh con đẻ cái và sống với nhau đến đầu bạc răng long. Không phải thế! Hôn nhân là một cuộc đời mà ở đó, người chồng yêu cuộc hôn nhân hơn cả yêu vợ mình. Người vợ cũng phải thế. Không phải là anh yêu em, em yêu anh mà là chúng ta CÙNG YÊU! Ở đó, họ sẵn sàng dẹp bỏ đi cái tôi của mình để hướng đến một cái chung. Đến cả cãi nhau cũng vì cái chung chứ không phải vì cái riêng bị xâm phạm. Là tôi nghĩ thế! Sự thông minh của một người vợ hoá ra chẳng phải là chỉ số IQ của người vợ đó đến đâu mà là sự thấu hiểu của người vợ về chồng mình, về cuộc hôn nhân của mình. Không chỉ hiểu mà còn là cảm nhận. Đàn ông vốn là lũ hời hợt nhưng nhiều kẻ trong số đó rất nặng tình với vợ mình. Vô tâm nhưng sẵn sàng đánh đổi tất cả để vợ mình hạnh phúc. Ngốc nghếch nhưng sẵn sàng lăn xả đấm vỡ mõm kẻ nào nói lời không hay về vợ mình. Bao nhiêu người vợ hiểu điều đó, cảm nhận được điều đó thay vì chỉ thấy chồng mình lười biếng, vô tích sự, ngu lâu khó đào tạo??? Tôi nghĩ người phụ nữ thông minh sẽ thấy rằng thay vì vật vã chuyện anh ta không làm cái này chưa làm cái kia thì hãy yêu cầu, đòi hỏi, tạo sức ép và khiến anh ta muốn làm điều đó vì yêu mình! Thay vì đòi hỏi chồng mình phải giống chồng người, như chồng người thì hãy giúp anh ta, cùng anh ta làm tốt việc làm chồng chính mình, của riêng mình, khít khìn khịt với mình! Chúng ta không phải làm mọi thứ để có thể sống với nhau đến đầu bạc răng long. Mà là chúng ta đang cùng nhau hạnh phúc, hưởng thụ hạnh phúc, trải nghiệm hạnh phúc. Để được là một người vợ hạnh phúc và một người chồng hạnh phúc! Và như thế là đã đủ để có một người vợ thông minh rồi! Và là chồng một người phụ nữ như thế, ai mà không ham??? Hoàng Anh Tú See Translation"
sentiment,"[Vnexpress: Đinh Hương nghẹn ngào nhận giải Ca Sỹ Trẻ Xuất Sắc Của Năm] Đinh Hương đã không giấu được xúc động khi cầm trên tay chiếc cup, cô nghẹn ngào chia sẻ: “Đây là giải thưởng đầu tiên trong sự nghiệp kể từ khi Đinh Hương bước chân ra khỏi cuộc thi The voice để đi theo con đường ca hát chuyên nghiệp. Hương cảm thấy rất vui và bất ngờ, đây quả là một sự ghi nhận quý báu đối với bản thân Hương, để mình phải cố gắng hơn nữa trong thời gian sắp tới“. http://giaitri.vnexpress.net/…/dinh-huong-nghen-ngao-nhan-g… See Translation"
sentiment,Lạnh thế này thì ta phải làm sao??? See Translation
sentiment,"Đi quay show mới,gặp người yêu cũ,kakaka...tình hình là hôm nay sẽ quay tới khuya,nghĩ tới thôi là nổi da gà."
other topics,Http://YouTu.be/bNBQcJnB_sg Tóc mới nha cả nhà hihi
